"id","t","p","p_adj"
"1007_s_at",-2.90278980345804,0.00448184754369161,0.0086024447407542
"1053_at",-3.12066681136119,0.00223855064734266,0.00457280488815883
"117_at",4.67826314450468,8.24368887425679e-06,2.61912209481111e-05
"1294_at",-0.581993268220005,0.5615968390635,0.625425631935473
"1405_i_at",6.13907003884739,1.0389499456465e-08,5.16357185305854e-08
"1438_at",-6.10060198237041,1.54386195419488e-08,7.45106206508559e-08
"1487_at",-6.14611593191082,1.12118609875366e-08,5.53481985594954e-08
"1552256_a_at",-1.32969651278314,0.186259113044232,0.241949017103573
"1552257_a_at",-5.687944160054,1.02451648439529e-07,4.37854571241272e-07
"1552263_at",-0.0180501276765184,0.985630511965581,0.988412624041241
"1552264_a_at",-2.01543919311916,0.0458959280265254,0.0705379295730027
"1552274_at",5.74643698135888,6.73968804829899e-08,2.96495124106015e-07
"1552275_s_at",4.84439918811854,3.6835488350036e-06,1.2461608076889e-05
"1552277_a_at",6.44768760504635,2.95723003454716e-09,1.59419740506535e-08
"1552281_at",-4.69337380260378,6.81698885779001e-06,2.19368610037313e-05
"1552283_s_at",-1.51243349836849,0.132983255728479,0.180082514074217
"1552287_s_at",0.618816803290551,0.537244021142137,0.602931188581785
"1552288_at",3.72555467894865,0.000378148107707128,0.00089066171604629
"1552289_a_at",5.01546992939446,4.05151323449044e-06,1.36275344099342e-05
"1552291_at",-5.75838717567045,5.75495383703524e-08,2.56141378396394e-07
"1552295_a_at",9.58650635024404,4.24680195823411e-16,5.7779065308229e-15
"1552299_at",-6.07314749122314,1.25787347927424e-08,6.1639998060008e-08
"1552306_at",-4.29690886401286,3.34374122491356e-05,9.58768393142035e-05
"1552307_a_at",2.26579125546639,0.0251495079644807,0.0411169161978487
"1552309_a_at",15.1051098160598,2.98119900287678e-27,1.76999650771879e-25
"1552310_at",-0.348352990390776,0.728144917630512,0.776323722199772
"1552312_a_at",-0.251664879285715,0.801723144133,0.838615048713913
"1552315_at",5.38724436063841,4.27352276979235e-07,1.66961486431742e-06
"1552316_a_at",9.99987083353252,7.12056883057402e-17,1.07207634744398e-15
"1552318_at",7.51747082123448,4.34948512334935e-11,3.0070969495297e-10
"1552323_s_at",2.15402697037674,0.0332119938061644,0.0527631148624871
"1552329_at",0.184970265965847,0.853543952543841,0.882055484057386
"1552330_at",1.88545624283591,0.0620955941437672,0.0921125767529639
"1552334_at",-4.33465404147493,2.87153982200944e-05,8.33022621617303e-05
"1552344_s_at",-1.22716632815858,0.22215085119414,0.282312167498605
"1552347_at",1.70160228008924,0.0912042415492559,0.129284756329588
"1552348_at",0.836356501357999,0.405575651326328,0.475571725939048
"1552349_a_at",1.03699111269484,0.302958276239634,0.370428084969771
"1552362_a_at",-4.45204818675438,1.79866284133507e-05,5.40064700192033e-05
"1552364_s_at",-3.93238972687584,0.000136490492414763,0.00034769007475656
"1552365_at",-3.99645682849779,0.000108082243529283,0.000280978116159508
"1552367_a_at",-4.74210872958129,5.43681882918745e-06,1.78501726562099e-05
"1552370_at",-7.89089638994153,1.12006332188831e-12,9.60733442026239e-12
"1552378_s_at",-2.33517101712771,0.0212130536846065,0.0352968676167719
"1552398_a_at",5.55691670558786,2.63058922026442e-07,1.06058615420574e-06
"1552417_a_at",-3.03651552072952,0.00288494097455987,0.0057628180689789
"1552426_a_at",0.452389458101887,0.651731795528602,0.708573359334083
"1552455_at",-3.97403432703182,0.000118081658557331,0.0003044223657587
"1552470_a_at",-4.10394940926106,7.50061376553772e-05,0.000201139541530922
"1552472_a_at",-1.1232315120061,0.263633272619891,0.328081926327589
"1552476_s_at",-1.69967147206339,0.0916366248131625,0.129805783585822
"1552477_a_at",-3.60419598059414,0.000512111873199081,0.00117760603726445
"1552478_a_at",-5.27817135866414,6.31801859829895e-07,2.39943095973674e-06
"1552485_at",1.40421595394361,0.162933220599751,0.215473706180998
"1552486_s_at",-0.778997638166386,0.437427450909375,0.507063175517357
"1552496_a_at",-3.01081408933327,0.00324114915866625,0.0064086887359014
"1552502_s_at",-7.62196601684624,7.69023621101824e-12,5.86946753361396e-11
"1552504_a_at",1.59605276974382,0.113090809138886,0.15627674108546
"1552507_at",9.79089571297922,1.72980559436159e-15,2.15146402185222e-14
