"id","t","p","p_adj"
"1552283_s_at",-1.50348017954136,0.135348907321378,0.158631402846844
"1552309_a_at",17.9350937694473,3.74608493926607e-32,4.48652204054287e-31
"1552365_at",-4.43068882840565,2.06442315461611e-05,3.17110290183016e-05
"1552367_a_at",-4.98345474906814,1.97702308014021e-06,3.23110488470675e-06
"1552455_at",-4.12903593279792,6.68980463704801e-05,0.000100248978578637
"1552502_s_at",-7.70317589823953,5.63924999066938e-12,1.2297254958316e-11
"1552511_a_at",0.580254532103388,0.563015867474996,0.591166660848746
"1552766_at",0.999671348509935,0.31940627737737,0.356108962341461
"1552767_a_at",2.35313788759316,0.0201617391249217,0.0257137654563269
"1552797_s_at",-3.48386737588636,0.00069332282876472,0.000976896963691466
"1552834_at",-10.1816382274156,3.56518097212553e-18,1.22268958171553e-17
"1552848_a_at",4.44996507399625,2.44357873928902e-05,3.73108187981083e-05
"1552870_s_at",-6.22629548548702,6.71525813897808e-09,1.24630638342051e-08
"1553102_a_at",7.82435149070719,2.21754410864883e-11,4.65684262816254e-11
"1553275_s_at",7.39975511546102,2.93201715022563e-10,5.76993875647739e-10
"1553296_at",-3.79509548018785,0.000225829887008818,0.000326909553148742
"1553319_at",-4.86526931517588,3.21123841688921e-06,5.18192472956964e-06
"1553486_a_at",-4.39103384616374,2.64474399096225e-05,4.02221481958843e-05
"1553613_s_at",5.24925151997756,7.41420240341452e-07,1.24218276332617e-06
"1553808_a_at",2.87882797016265,0.00502846811486502,0.00669152918410423
"1553828_at",-12.5186017766052,8.61717743148006e-24,4.47801118727422e-23
"1553970_s_at",3.7999330960999,0.00027253681642476,0.000391564142061066
"1554007_at",9.7594109938888,1.40983219775366e-15,3.97292786609625e-15
"1554018_at",13.8841979842564,1.59559590863347e-23,8.18076430747529e-23
"1554127_s_at",18.0690823016741,5.79706540236645e-30,5.77071510508296e-29
"1554190_s_at",-5.86109254172485,5.05765743078855e-08,8.94277836378183e-08
"1554195_a_at",8.22468661385593,9.75735536891486e-12,2.09496159391407e-11
"1554242_a_at",-2.0281360648653,0.0445699742425627,0.0550157606782069
"1554375_a_at",-4.35499548672655,2.76154906505868e-05,4.19569347545586e-05
"1554411_at",0.463157205455573,0.644121622013528,0.667639247158038
"1554436_a_at",-8.27476478392332,2.44701088592765e-12,5.47630319434611e-12
"1554474_a_at",14.7725464551204,4.08570758280372e-27,2.87311455249454e-26
"1554547_at",10.5391085365854,3.19471102524829e-16,9.49126356919695e-16
"1554726_at",-0.132119271302564,0.895095031845514,0.905132377189428
"1554741_s_at",11.5389527688703,1.64288445577072e-19,6.26502952909581e-19
"1554781_at",-3.64492687238537,0.000383633299493191,0.000548609932950617
"1554899_s_at",13.5961384206289,4.11780698444749e-26,2.65235214586471e-25
"1554997_a_at",1.77249968505546,0.0791586204340359,0.0955761570350368
"1555019_at",-5.18422363785541,8.00092145785646e-07,1.33610158985773e-06
"1555229_a_at",16.7197368434781,4.06648827913908e-34,6.63183673608532e-33
"1555564_a_at",3.77627671609826,0.000241781875370062,0.000349012820096332
"1555728_a_at",13.019177679105,5.68381660308768e-23,2.81983522735709e-22
"1555731_a_at",-2.19668564148817,0.030587385757196,0.0382779284618624
